Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Gossypium turneri isolate D10-2 chromosome D10_10,Gossypium turneri,34284,53.6,157,32%,0.005,83.67,63881757,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032580.1?report=genbank&log$=nucltop&blast_rank=33&RID=UUVM24FD016"",""CP032580.1"")"
Gossypium turneri isolate D10-2 chromosome D10_01,Gossypium turneri,34284,53.6,208,32%,0.005,83.67,60445394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032571.1?report=genbank&log$=nucltop&blast_rank=34&RID=UUVM24FD016"",""CP032571.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_11,Gossypium raimondii,29730,53.6,157,32%,0.005,83.67,65701939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032563.1?report=genbank&log$=nucltop&blast_rank=35&RID=UUVM24FD016"",""CP032563.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_10,Gossypium raimondii,29730,53.6,208,32%,0.005,83.67,62686509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032562.1?report=genbank&log$=nucltop&blast_rank=36&RID=UUVM24FD016"",""CP032562.1"")"
Gossypioides kirkii chromosome KI_13,Gossypioides kirkii,47615,53.6,53.6,32%,0.005,83.67,42971368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032255.1?report=genbank&log$=nucltop&blast_rank=37&RID=UUVM24FD016"",""CP032255.1"")"
Gossypioides kirkii chromosome KI_12,Gossypioides kirkii,47615,53.6,105,32%,0.005,83.67,43711324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032254.1?report=genbank&log$=nucltop&blast_rank=38&RID=UUVM24FD016"",""CP032254.1"")"
Gossypioides kirkii chromosome KI_08,Gossypioides kirkii,47615,53.6,53.6,32%,0.005,83.67,39602670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032250.1?report=genbank&log$=nucltop&blast_rank=39&RID=UUVM24FD016"",""CP032250.1"")"
Gossypium hirsutum cultivar TM1 chromosome D11,Gossypium hirsutum,3635,53.6,53.6,32%,0.005,83.67,47978869,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023744.1?report=genbank&log$=nucltop&blast_rank=40&RID=UUVM24FD016"",""CP023744.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-11,Lupinus angustifolius,3871,53.6,53.6,65%,0.005,71.72,41629797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023123.1?report=genbank&log$=nucltop&blast_rank=41&RID=UUVM24FD016"",""CP023123.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_02,Gossypium raimondii,29730,52.7,52.7,31%,0.018,85.42,46322098,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032554.1?report=genbank&log$=nucltop&blast_rank=42&RID=UUVM24FD016"",""CP032554.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-01,Lupinus angustifolius,3871,52.7,105,40%,0.018,78.69,42828440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023113.2?report=genbank&log$=nucltop&blast_rank=43&RID=UUVM24FD016"",""CP023113.2"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-03,Lupinus angustifolius,3871,52.7,52.7,40%,0.018,78.69,38743218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023115.1?report=genbank&log$=nucltop&blast_rank=44&RID=UUVM24FD016"",""CP023115.1"")"
"Vigna angularis var. angularis DNA, chromosome 7, almost complete sequence, cultivar: Shumari",Vigna angularis var. angularis,157739,52.7,52.7,75%,0.018,71.30,33495452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP015040.1?report=genbank&log$=nucltop&blast_rank=45&RID=UUVM24FD016"",""AP015040.1"")"
Carpinus viminea chromosome 8,Carpinus viminea,176864,52.7,52.7,27%,0.018,87.80,38314214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054674.1?report=genbank&log$=nucltop&blast_rank=46&RID=UUVM24FD016"",""CP054674.1"")"
"Glycine max clone GM_WBa0010E08, complete sequence",Glycine max,3847,52.7,52.7,43%,0.018,77.27,206961,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ571603.1?report=genbank&log$=nucltop&blast_rank=47&RID=UUVM24FD016"",""FJ571603.1"")"
Solanum tuberosum cultivar P8 chromosome 4,Solanum tuberosum,4113,51.8,51.8,28%,0.018,86.05,72175651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP046685.1?report=genbank&log$=nucltop&blast_rank=48&RID=UUVM24FD016"",""CP046685.1"")"
Solanum tuberosum cultivar MSH/14-112 chromosome 4,Solanum tuberosum,4113,51.8,51.8,28%,0.018,86.05,72170609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP046699.1?report=genbank&log$=nucltop&blast_rank=49&RID=UUVM24FD016"",""CP046699.1"")"
Gossypium turneri isolate D10-2 chromosome D10_08,Gossypium turneri,34284,51.8,51.8,31%,0.018,83.33,61617684,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032578.1?report=genbank&log$=nucltop&blast_rank=50&RID=UUVM24FD016"",""CP032578.1"")"
Gossypium turneri isolate D10-2 chromosome D10_07,Gossypium turneri,34284,51.8,51.8,31%,0.018,83.33,53747549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032577.1?report=genbank&log$=nucltop&blast_rank=51&RID=UUVM24FD016"",""CP032577.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_07,Gossypium raimondii,29730,51.8,51.8,31%,0.018,83.33,51495894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032559.1?report=genbank&log$=nucltop&blast_rank=52&RID=UUVM24FD016"",""CP032559.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_06,Gossypium raimondii,29730,51.8,103,31%,0.018,83.33,60579733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032558.1?report=genbank&log$=nucltop&blast_rank=53&RID=UUVM24FD016"",""CP032558.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_03,Gossypium raimondii,29730,51.8,51.8,31%,0.018,83.33,63031283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032555.1?report=genbank&log$=nucltop&blast_rank=54&RID=UUVM24FD016"",""CP032555.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_01,Gossypium raimondii,29730,51.8,103,31%,0.018,83.33,56642067,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032553.1?report=genbank&log$=nucltop&blast_rank=55&RID=UUVM24FD016"",""CP032553.1"")"
Gossypium hirsutum cultivar TM1 chromosome D12,Gossypium hirsutum,3635,51.8,51.8,31%,0.018,83.33,32486404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023742.1?report=genbank&log$=nucltop&blast_rank=56&RID=UUVM24FD016"",""CP023742.1"")"
"Vigna angularis var. angularis DNA, chromosome 1, almost complete sequence, cultivar: Shumari",Vigna angularis var. angularis,157739,51.8,51.8,31%,0.018,83.33,67115795,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP015034.1?report=genbank&log$=nucltop&blast_rank=57&RID=UUVM24FD016"",""AP015034.1"")"
"PREDICTED: Nicotiana sylvestris uncharacterized LOC104231610 (LOC104231610), mRNA",Nicotiana sylvestris,4096,51.8,51.8,58%,0.018,72.73,2499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009784626.1?report=genbank&log$=nucltop&blast_rank=58&RID=UUVM24FD016"",""XM_009784626.1"")"
Solanum tuberosum cultivar Solyntus chromosome 4,Solanum tuberosum,4113,51.8,51.8,28%,0.018,86.05,72008707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP055237.1?report=genbank&log$=nucltop&blast_rank=59&RID=UUVM24FD016"",""CP055237.1"")"
"Vitis vinifera contig VV78X097830.15, whole genome shotgun sequence",Vitis vinifera,29760,51.8,51.8,28%,0.018,86.05,9417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AM445725.2?report=genbank&log$=nucltop&blast_rank=60&RID=UUVM24FD016"",""AM445725.2"")"
"Vitis vinifera contig VV78X066628.4, whole genome shotgun sequence",Vitis vinifera,29760,51.8,51.8,28%,0.018,86.05,3308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AM455593.1?report=genbank&log$=nucltop&blast_rank=61&RID=UUVM24FD016"",""AM455593.1"")"



		


