Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 5",Marchantia polymorpha subsp. ruderalis,1480154,59.9,179,96%,1e-04,69.59,26794015,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019870.1?report=genbank&log$=nucltop&blast_rank=19&RID=UUVK1VT1013"",""AP019870.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, chromosome: 1",Marchantia polymorpha subsp. ruderalis,1480154,59.9,171,81%,1e-04,80.00,30584173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019866.1?report=genbank&log$=nucltop&blast_rank=20&RID=UUVK1VT1013"",""AP019866.1"")"
Gossypium arboreum cultivar Shixiya1 chromosome 12,Gossypium arboreum,29729,59.9,59.9,29%,1e-04,88.89,94637005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP053561.1?report=genbank&log$=nucltop&blast_rank=21&RID=UUVK1VT1013"",""CP053561.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_379",Marchantia polymorpha subsp. ruderalis,1480154,59.9,59.9,96%,1e-04,69.59,4814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020244.1?report=genbank&log$=nucltop&blast_rank=22&RID=UUVK1VT1013"",""AP020244.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_322",Marchantia polymorpha subsp. ruderalis,1480154,59.9,59.9,43%,1e-04,80.00,15001,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020187.1?report=genbank&log$=nucltop&blast_rank=23&RID=UUVK1VT1013"",""AP020187.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_227",Marchantia polymorpha subsp. ruderalis,1480154,59.9,59.9,96%,1e-04,69.59,2001,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020092.1?report=genbank&log$=nucltop&blast_rank=24&RID=UUVK1VT1013"",""AP020092.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_157",Marchantia polymorpha subsp. ruderalis,1480154,59.9,59.9,96%,1e-04,69.59,6989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020022.1?report=genbank&log$=nucltop&blast_rank=25&RID=UUVK1VT1013"",""AP020022.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_058",Marchantia polymorpha subsp. ruderalis,1480154,59.9,59.9,96%,1e-04,69.59,19000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019923.1?report=genbank&log$=nucltop&blast_rank=26&RID=UUVK1VT1013"",""AP019923.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_358",Marchantia polymorpha subsp. ruderalis,1480154,58.1,58.1,96%,4e-04,70.07,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020223.1?report=genbank&log$=nucltop&blast_rank=27&RID=UUVK1VT1013"",""AP020223.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_050",Marchantia polymorpha subsp. ruderalis,1480154,58.1,58.1,96%,4e-04,69.80,8999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP019915.1?report=genbank&log$=nucltop&blast_rank=28&RID=UUVK1VT1013"",""AP019915.1"")"
Gossypium turneri isolate D10-2 chromosome D10_03,Gossypium turneri,34284,58.1,113,98%,4e-04,85.71,64909839,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032573.1?report=genbank&log$=nucltop&blast_rank=29&RID=UUVK1VT1013"",""CP032573.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-04,Lupinus angustifolius,3871,58.1,58.1,75%,4e-04,71.05,30409451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023116.1?report=genbank&log$=nucltop&blast_rank=30&RID=UUVK1VT1013"",""CP023116.1"")"
"PREDICTED: Selaginella moellendorffii uncharacterized LOC112342879 (LOC112342879), mRNA",Selaginella moellendorffii,88036,57.2,57.2,37%,4e-04,82.14,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_024665453.1?report=genbank&log$=nucltop&blast_rank=31&RID=UUVK1VT1013"",""XM_024665453.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_430",Marchantia polymorpha subsp. ruderalis,1480154,55.4,55.4,43%,0.001,78.46,7915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020295.1?report=genbank&log$=nucltop&blast_rank=32&RID=UUVK1VT1013"",""AP020295.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_320",Marchantia polymorpha subsp. ruderalis,1480154,55.4,55.4,43%,0.001,78.46,13186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020185.1?report=genbank&log$=nucltop&blast_rank=33&RID=UUVK1VT1013"",""AP020185.1"")"
Gossypium hirsutum cultivar TM1 chromosome A12,Gossypium hirsutum,3635,55.4,107,32%,0.001,86.67,26685906,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023745.1?report=genbank&log$=nucltop&blast_rank=34&RID=UUVK1VT1013"",""CP023745.1"")"
Gossypium turneri isolate D10-2 chromosome D10_10,Gossypium turneri,34284,53.6,105,32%,0.005,83.67,63881757,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032580.1?report=genbank&log$=nucltop&blast_rank=35&RID=UUVK1VT1013"",""CP032580.1"")"
Gossypium turneri isolate D10-2 chromosome D10_01,Gossypium turneri,34284,53.6,105,32%,0.005,83.67,60445394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032571.1?report=genbank&log$=nucltop&blast_rank=36&RID=UUVK1VT1013"",""CP032571.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_10,Gossypium raimondii,29730,53.6,105,32%,0.005,83.67,62686509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032562.1?report=genbank&log$=nucltop&blast_rank=37&RID=UUVK1VT1013"",""CP032562.1"")"
Gossypioides kirkii chromosome KI_13,Gossypioides kirkii,47615,53.6,53.6,32%,0.005,83.67,42971368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032255.1?report=genbank&log$=nucltop&blast_rank=38&RID=UUVK1VT1013"",""CP032255.1"")"
Gossypioides kirkii chromosome KI_12,Gossypioides kirkii,47615,53.6,105,32%,0.005,83.67,43711324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032254.1?report=genbank&log$=nucltop&blast_rank=39&RID=UUVK1VT1013"",""CP032254.1"")"
Gossypioides kirkii chromosome KI_08,Gossypioides kirkii,47615,53.6,53.6,32%,0.005,83.67,39602670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032250.1?report=genbank&log$=nucltop&blast_rank=40&RID=UUVK1VT1013"",""CP032250.1"")"
Gossypium hirsutum cultivar TM1 chromosome D11,Gossypium hirsutum,3635,53.6,53.6,32%,0.005,83.67,47978869,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023744.1?report=genbank&log$=nucltop&blast_rank=41&RID=UUVK1VT1013"",""CP023744.1"")"
Lupinus angustifolius cultivar Tanjil chromosome LG-03,Lupinus angustifolius,3871,52.7,52.7,40%,0.018,78.69,38743218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023115.1?report=genbank&log$=nucltop&blast_rank=42&RID=UUVK1VT1013"",""CP023115.1"")"
"Vigna angularis var. angularis DNA, chromosome 7, almost complete sequence, cultivar: Shumari",Vigna angularis var. angularis,157739,52.7,52.7,75%,0.018,71.30,33495452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP015040.1?report=genbank&log$=nucltop&blast_rank=43&RID=UUVK1VT1013"",""AP015040.1"")"
Carpinus viminea chromosome 8,Carpinus viminea,176864,52.7,52.7,27%,0.018,87.80,38314214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054674.1?report=genbank&log$=nucltop&blast_rank=44&RID=UUVK1VT1013"",""CP054674.1"")"
"Marchantia polymorpha subsp. ruderalis Tak-1 DNA, unplaced-scaffold_307",Marchantia polymorpha subsp. ruderalis,1480154,51.8,51.8,96%,0.018,68.92,9657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020172.1?report=genbank&log$=nucltop&blast_rank=45&RID=UUVK1VT1013"",""AP020172.1"")"
Gossypium turneri isolate D10-2 chromosome D10_07,Gossypium turneri,34284,51.8,103,31%,0.018,83.33,53747549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032577.1?report=genbank&log$=nucltop&blast_rank=46&RID=UUVK1VT1013"",""CP032577.1"")"
Gossypium turneri isolate D10-2 chromosome D10_04,Gossypium turneri,34284,51.8,51.8,43%,0.018,79.10,52521518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032574.1?report=genbank&log$=nucltop&blast_rank=47&RID=UUVK1VT1013"",""CP032574.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_11,Gossypium raimondii,29730,51.8,103,31%,0.018,83.33,65701939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032563.1?report=genbank&log$=nucltop&blast_rank=48&RID=UUVK1VT1013"",""CP032563.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_06,Gossypium raimondii,29730,51.8,103,31%,0.018,83.33,60579733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032558.1?report=genbank&log$=nucltop&blast_rank=49&RID=UUVK1VT1013"",""CP032558.1"")"
Gossypium raimondii isolate D5-4 chromosome D5_01,Gossypium raimondii,29730,51.8,103,31%,0.018,83.33,56642067,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP032553.1?report=genbank&log$=nucltop&blast_rank=50&RID=UUVK1VT1013"",""CP032553.1"")"



		


